,BLOCK,CHOICE_RT_1,CHOICE_RT_2,CONF_1,CONF_2,CONF_RT_1,CONF_RT_2,CORRECT,CORRECT_2,Chosen_Nr_1,Chosen_Nr_2,Correct_Count,DOTS_LEFT,DOTS_RIGHT,Dot_Diff,Error_Count,GSF_First_Presentation,GSF_Second_Presentation,LEFT_MOST_DOTS,LEFT_PRESENTATION_TIME,Left_IA_First_Dwell_Time,Left_IA_Second_Dwell_Time,PICKED_LEFT_1,PICKED_LEFT_2,Participant,RIGHT_PRESENTATION_TIME,Right_IA_First_Dwell_Time,Right_IA_Second_Dwell_Time,TOTAL_POINTS,TRIAL_POINTS,Unchosen_Nr_1,Unchosen_Nr_2,Which_First,ZConf1,ZConf1ALL,ZConf2,ZConf2ALL,ZDot_Diff,ZRT,sampling_time,session,type,Internal_Saccades_First,Internal_Saccades_Second,RightFirst,Left_IA_Second_Dwell_Time_REVISED,Right_IA_Second_Dwell_Time_REVISED,Left_Gazetime_New,Right_Gazetime_New,LeftLonger,LEFT_PRESENTATION_TIME_REV,RIGHT_PRESENTATION_TIME_REV
2164,5,1261,1518,46.22,46.27,1017,1024,1,1,50,50,1,50,45,5,0,1,1,True,3750,731,852,True,True,15,1250,810,3316,13563,146,45,45,Right,-0.370772008,-0.24102006199999998,-0.605568898,-0.77028406,0.22372329300000002,-0.739040825,,Fixed,"Correct, no change",4,11,1,3316.0,852.0,1152,3316,99,1250.0,3750.0
2165,5,1297,1351,56.57,83.45,1111,530,1,1,55,55,2,55,50,5,0,1,1,True,3500,732,3284,True,True,15,3500,790,2889,13732,169,50,50,Left,0.160175127,0.296808086,1.152877226,0.882630275,0.22372329300000002,-0.602779052,,Fixed,"Correct, no change",3,14,0,3284.0,2889.0,3350,3156,99,3500.0,3500.0
2166,5,1721,1335,79.15,81.3,782,537,1,1,54,54,1,54,50,4,0,1,1,True,3500,734,3178,True,True,15,3500,824,3116,13911,179,50,50,Right,1.31851197,1.470156838,1.051191934,0.787047547,-0.44045523299999995,1.002081826,,Fixed,"Correct, no change",2,9,1,3116.0,3178.0,3487,3116,99,3500.0,3500.0
2167,5,1491,1398,65.12,76.82,971,789,1,1,54,54,2,50,54,4,0,1,1,False,2250,868,1199,False,False,15,750,711,2184,14081,170,50,50,Right,0.598783631,0.7411009040000001,0.839308162,0.587879817,-0.44045523299999995,0.13152049999999998,,Fixed,"Correct, no change",3,9,1,2184.0,1199.0,1468,2251,99,750.0,2250.0
2168,5,1668,1446,57.88,48.15,859,879,-1,-1,47,47,0,47,50,3,1,1,1,False,3750,674,932,True,True,15,1250,848,3368,14127,46,50,50,Right,0.22737713199999998,0.364881021,-0.516653386,-0.686704744,-1.104633758,0.8014742159999999,,Fixed,"Incorrect, no change",4,13,1,3368.0,932.0,1347,3368,99,1250.0,3750.0
2169,5,1455,1402,49.98,69.77,601,553,1,1,54,54,1,50,54,4,0,1,1,False,750,854,2734,False,False,15,2250,720,690,14285,158,50,50,Right,-0.177886865,-0.04563515,0.505874994,0.27445738399999997,-0.44045523299999995,-0.004741272,,Fixed,"Correct, no change",3,4,1,690.0,2734.0,3006,757,99,2250.0,750.0
2170,5,1296,1387,90.25,85.92,757,720,1,1,50,50,2,46,50,4,0,1,1,False,5250,741,1366,False,False,15,1750,858,4912,14472,187,46,46,Right,1.887933536,2.046958041,1.269697073,0.992439269,-0.44045523299999995,-0.606564101,,Fixed,"Correct, no change",3,16,1,4912.0,1366.0,1684,4979,99,1750.0,5250.0
2171,5,1463,1253,59.57,57.55,332,816,-1,-1,47,47,0,50,47,3,1,1,1,True,2250,898,654,False,False,15,750,713,2184,14513,41,50,50,Left,0.314072848,0.45270030299999997,-0.07207583,-0.268808167,-1.104633758,0.025539122,,Fixed,"Incorrect, no change",3,4,0,654.0,2184.0,654,2475,99,750.0,2250.0
2172,5,1546,2049,54.35,54.05,294,464,1,1,54,54,1,50,54,4,0,1,1,False,5250,689,1437,False,False,15,1750,856,4828,14667,154,50,50,Right,0.046290814000000007,0.18144784600000002,-0.237610026,-0.42440795600000003,-0.44045523299999995,0.339698209,,Fixed,"Correct, no change",5,15,1,4828.0,1437.0,1700,4894,99,1750.0,5250.0
2173,5,1379,1311,62.62,76.55,1006,900,1,1,50,50,2,46,50,4,0,1,1,False,1500,864,1306,False,False,15,1500,718,1928,14836,169,46,46,Left,0.47053553,0.611190724,0.826538381,0.575876404,-0.44045523299999995,-0.29240501399999996,,Fixed,"Correct, no change",3,7,0,1306.0,1928.0,1306,2239,99,1500.0,1500.0
2174,5,1240,1376,76.53,63.4,743,816,1,1,53,53,1,53,50,3,0,1,1,True,3500,846,2953,True,True,15,3500,739,3136,15005,169,50,50,Right,1.184107961,1.3340109690000002,0.20460275600000002,-0.008734233000000001,-1.104633758,-0.8185268590000001,,Fixed,"Correct, no change",3,15,1,3136.0,2953.0,3255,3136,99,3500.0,3500.0
2175,5,1606,1119,76.77,77.73,721,715,-1,-1,47,47,1,50,47,3,1,1,1,True,1250,734,2276,False,False,15,3750,824,922,15027,22,50,50,Right,1.196419779,1.346482346,0.8823470529999999,0.6283357620000001,-1.104633758,0.5668011629999999,,Fixed,"Incorrect, no change",3,4,1,922.0,2276.0,2504,988,99,3750.0,1250.0
2176,5,1616,1380,78.68,58.43,780,1290,1,1,50,50,1,50,46,4,0,1,1,True,5250,734,2072,True,True,15,1750,850,4345,15195,168,46,46,Left,1.294401327,1.445733724,-0.030455802999999997,-0.22968593399999998,-0.44045523299999995,0.604651655,,Fixed,"Correct, no change",3,11,0,2072.0,4345.0,0,4654,99,1750.0,5250.0
2177,5,1355,1554,51.68,64.07,897,725,1,1,54,54,2,50,54,4,0,1,1,False,2500,722,2169,False,False,15,2500,838,2310,15352,157,50,50,Right,-0.090678157,0.042703773,0.236290731,0.021052012000000002,-0.44045523299999995,-0.38324619600000004,,Fixed,"Correct, no change",4,9,1,2310.0,2169.0,2464,2376,99,2500.0,2500.0
2178,5,1342,1532,69.4,68.52,805,537,1,-1,50,47,1,47,50,3,0,1,1,False,3750,862,967,False,True,15,1250,706,3384,15451,99,47,50,Right,0.818344379,0.9635071340000001,0.44675563799999995,0.21888603,-1.104633758,-0.43245183600000003,,Fixed,Correct to incorrect,4,11,1,3384.0,967.0,1413,3384,99,1250.0,3750.0
2179,5,1591,1279,49.47,65.58,592,713,1,1,53,53,2,53,50,3,0,1,1,True,2250,746,712,True,True,15,750,862,2479,15607,156,50,50,Left,-0.204049478,-0.072136827,0.307706913,0.088182207,-1.104633758,0.510025424,,Fixed,"Correct, no change",3,7,0,712.0,2479.0,779,2688,99,750.0,2250.0
2180,5,1507,1639,36.18,45.72,887,719,1,1,52,52,1,52,50,2,0,1,1,True,1250,738,3154,True,True,15,3750,850,946,15747,140,50,50,Left,-0.8858163790000001,-0.762739347,-0.631581414,-0.794735455,-1.768812284,0.19208128800000002,,Fixed,"Correct, no change",2,9,0,3154.0,946.0,3220,1202,99,3750.0,1250.0
2181,5,1055,1407,54.03,47.4,591,794,-1,-1,48,48,1,50,48,2,1,1,1,True,1250,768,3542,False,False,15,3750,712,933,15795,48,50,50,Left,0.029875057000000003,0.164819343,-0.552125,-0.7200475559999999,-1.768812284,-1.518760968,,Fixed,"Incorrect, no change",2,11,0,3542.0,933.0,3542,1237,99,3750.0,1250.0
2182,5,1421,1650,61.93,74.97,964,533,1,1,50,50,1,50,47,3,0,1,1,True,2500,730,2004,True,True,15,2500,776,2182,15962,167,47,47,Right,0.435139055,0.5753355139999999,0.751811515,0.505634214,-1.104633758,-0.133432946,,Fixed,"Correct, no change",4,10,1,2182.0,2004.0,2335,2182,99,2500.0,2500.0
2183,5,1285,1569,63.12,51.12,968,519,-1,-1,47,47,1,47,50,3,1,1,1,False,2250,718,656,True,True,15,750,890,1824,16004,42,50,50,Left,0.496185151,0.63717276,-0.37618579700000004,-0.554667209,-1.104633758,-0.648199643,,Fixed,"Incorrect, no change",2,5,0,656.0,1824.0,723,2058,99,750.0,2250.0
2184,5,1903,1281,51.97,73.05,581,469,1,1,50,50,1,46,50,4,0,1,1,False,2250,850,1011,False,False,15,750,673,1920,16165,161,46,46,Right,-0.075801377,0.057773354000000006,0.6610041839999999,0.420276615,-0.44045523299999995,1.6909607869999999,,Fixed,"Correct, no change",4,9,1,1920.0,1011.0,1256,1987,99,750.0,2250.0
2185,6,1211,1332,63.13,74.47,795,957,1,1,54,54,2,50,54,4,0,1,1,False,1750,880,4119,False,False,15,5250,761,1574,16333,168,50,50,Right,0.496698143,0.637692401,0.728163773,0.483405672,-0.44045523299999995,-0.928293287,,Fixed,"Correct, no change",1,14,1,1574.0,4119.0,4364,1641,99,5250.0,1750.0
2186,6,1328,1328,46.1,61.83,669,494,-1,-1,47,47,0,50,47,3,1,1,1,True,2500,750,2408,False,False,15,2500,716,1918,16378,45,50,50,Left,-0.37692791700000006,-0.24725575,0.130348845,-0.078531853,-1.104633758,-0.48544252600000004,,Fixed,"Incorrect, no change",3,10,0,2408.0,1918.0,2408,2217,99,2500.0,2500.0
2187,6,1430,1406,64.97,67.08,926,845,1,1,54,54,1,54,50,4,0,1,1,True,5250,904,1241,True,True,15,1750,654,4880,16543,165,50,50,Right,0.591088745,0.733306294,0.37865014,0.15486783099999998,-0.44045523299999995,-0.09936750300000001,,Fixed,"Correct, no change",1,15,1,4880.0,1241.0,1589,4880,99,1750.0,5250.0
2188,6,1321,1087,47.53,67.03,820,936,1,1,54,54,2,54,50,4,0,1,1,True,1500,886,1957,True,True,15,1500,711,1382,16699,156,50,50,Right,-0.303570004,-0.172947127,0.376285366,0.152644977,-0.44045523299999995,-0.51193787,,Fixed,"Correct, no change",3,6,1,1382.0,1957.0,2063,1382,99,1500.0,1500.0
2189,6,1483,1218,67.07,77.3,810,678,1,1,53,53,1,50,53,3,0,1,1,False,2500,908,2074,False,False,15,2500,699,1826,16870,171,50,50,Left,0.698817149,0.842430845,0.862009995,0.6092192160000001,-1.104633758,0.101240107,,Fixed,"Correct, no change",3,9,0,2074.0,1826.0,2074,1893,99,2500.0,2500.0
2190,6,1240,1332,74.6,79.82,1033,1167,1,1,53,53,2,53,50,3,0,1,1,True,2500,713,2226,True,True,15,2500,874,2026,17046,176,50,50,Left,1.085100428,1.23372031,0.9811946159999999,0.721251065,-1.104633758,-0.8185268590000001,,Fixed,"Correct, no change",3,8,0,2226.0,2026.0,2293,2248,99,2500.0,2500.0
2191,6,1228,1351,86.02,79.68,721,842,-1,-1,48,48,0,50,48,2,1,1,1,True,2500,888,2058,False,False,15,2500,728,1614,17062,16,50,50,Left,1.67093775,1.827150015,0.974573248,0.715027073,-1.768812284,-0.86394745,,Fixed,"Incorrect, no change",3,8,0,2058.0,1614.0,2058,1923,99,2500.0,2500.0
