participant,Trial,Block,RT1,RT2,Conf1,Conf2,Correct1,Correct2,Conf1_RT,Conf2_RT,DotNumberLeft,DotNumberRight,DotDifference,Switch,Left_Presentation_Time,Right_Presentation_Time,LeftTime,RightTime,NonAbsDiff,Response1,Response2,ZConf1,ZConf2,Zdifficult,ZNonAbsDiff,SamplingLength,Session,Type,ZSwitch,DeltaSampling,ZDeltaSampling,ChosenTime,UnchosenTime,Chosen_Presentation_Time,Unchosen_Presentation_Time,ConfChange,Left_IA_First_Dwell_Time,Right_IA_First_Dwell_Time,LeftTime_First,RightTime_First,Internal_Saccades
1,78,2,2.498,3.758,0.4267,0.4952,1,0,1.709,2.062,51,50,1,6,,,3.333,2.262,1,left,right,-0.385601924,0.087248021,-1.381358503,0.218365227,7,Free,Correct to incorrect,1.937492532,1.071,1.378982116,3.333,2.262,,,0.0685,870,598,0.87,0.598,15
1,79,2,3.338,1.594,0.4218,0.4638,0,0,0.444,1.621,51,50,1,4,,,2.238,1.68,1,right,right,-0.433073635,-0.164701813,-1.381358503,0.218365227,5,Free,"Incorrect, no change",0.722944974,0.558,0.7713757,1.68,2.238,,,0.042,888,739,0.888,0.739,11
1,80,2,2.617,1.591,0.4152,0.3612,0,0,1.129,6.779,52,50,2,3,,,1.49,2.472,2,right,right,-0.497015122,-0.987951908,-0.641764291,0.480403499,5,Free,"Incorrect, no change",0.115671196,-0.982,-1.052627966,2.472,1.49,,,-0.054,816,726,0.816,0.726,11
1,83,2,1.673,2.95,0.4323,0.5138,1,1,0.469,0.468,52,50,2,3,,,1.55,1.758,2,left,left,-0.331348541,0.23649219,-0.641764291,0.480403499,5,Free,"Correct, no change",0.115671196,-0.208,-0.135888461,1.55,1.758,,,0.0815,926,644,0.926,0.644,7
1,84,3,2.17,3.257,0.4485,0.509,1,1,0.378,1.233,50,48,2,6,,,2.067,3.592,2,left,left,-0.174401253,0.197977566,-0.641764291,0.480403499,7,Free,"Correct, no change",1.937492532,-1.525,-1.69576692,2.067,3.592,,,0.0605,632,761,0.632,0.761,16
1,85,3,1.761,1.929,0.5375,0.6972,1,1,0.333,1.03,50,49,1,2,,,1.704,0.974,1,left,left,0.687840019,1.708071794,-1.381358503,0.218365227,5,Free,"Correct, no change",-0.491602583,0.73,0.97509559,1.704,0.974,,,0.1597,850,864,0.85,0.864,8
1,86,3,4.984,4.291,0.295,0.331,1,1,2.416,0.255,49,50,1,3,,,1.833,2.578,-1,right,right,-1.661525244,-1.230273086,-1.381358503,-0.305711318,5,Free,"Correct, no change",0.115671196,-0.745,-0.771920908,2.578,1.833,,,0.036,866,698,0.866,0.698,14
1,87,3,1.318,2.474,0.5542,0.6612,0,0,1.578,5.414,50,50,0,4,,,4.111,1.766,0,left,left,0.849631358,1.419212112,-2.120952716,-0.043673045,7,Free,"Incorrect, no change",0.722944974,2.345,2.887930602,4.111,1.766,,,0.107,1013,812,1.013,0.812,12
1,88,3,3.625,3.438,0.5995,0.3257,0,0,3.942,1.273,50,51,1,2,,,2.558,1.614,-1,left,left,1.288502478,-1.27279965,-1.381358503,-0.305711318,5,Free,"Incorrect, no change",-0.491602583,0.944,1.228561034,2.558,1.614,,,-0.2738,796,740,0.796,0.74,14
1,89,3,2.981,3.832,0.3847,0.4595,1,1,2.255,1.647,52,50,2,3,,,2.738,1.268,2,left,left,-0.7925023,-0.199204498,-0.641764291,0.480403499,5,Free,"Correct, no change",0.115671196,1.47,1.851564883,2.738,1.268,,,0.0748,882,644,0.882,0.644,14
1,90,3,3.292,2.739,0.4398,0.4417,0,1,1.768,1.668,50,48,2,3,,,2.463,1.68,2,right,left,-0.258687759,-0.342029563,-0.641764291,0.480403499,5,Free,Incorrect to correct,0.115671196,0.783,1.037869742,1.68,2.463,,,0.0019,906,755,0.906,0.755,12
1,92,3,3.835,2.48,0.3558,0.4125,0,1,1.704,2.004,50,53,3,2,,,1.444,3.149,-3,left,right,-1.07248851,-0.576326861,0.097829922,-0.829787862,5,Free,Incorrect to correct,-0.491602583,-1.705,-1.908962154,1.444,3.149,,,0.0567,898,748,0.898,0.748,13
