BLOCK,CHOICE_RT_1,CHOICE_RT_2,CONF_1,CONF_2,CONF_RT_1,CONF_RT_2,CORRECT,CORRECT_2,Chosen_Nr_1,Chosen_Nr_2,Correct_Count,DOTS_LEFT,DOTS_RIGHT,Dot_Diff,Error_Count,GSF_First_Presentation,GSF_Second_Presentation,LEFT_MOST_DOTS,LEFT_PRESENTATION_TIME,Left_IA_First_Dwell_Time,Left_IA_Second_Dwell_Time,PICKED_LEFT_1,PICKED_LEFT_2,Participant,RIGHT_PRESENTATION_TIME,Right_IA_First_Dwell_Time,Right_IA_Second_Dwell_Time,TOTAL_POINTS,TRIAL_POINTS,Unchosen_Nr_1,Unchosen_Nr_2,Which_First,ZConf1,ZConf1ALL,ZConf2,ZConf2ALL,ZDot_Diff,ZRT,sampling_time,session,type,Internal_Saccades_First,Internal_Saccades_Second
2,2251,5349,63.55,66.95,1912,895,1,1,50,50,1,50,47,3,0,1,3,TRUE,,1211,930,TRUE,TRUE,1,,752,1121,4865,164,47,47,Left,1.637274228,1.102727442,1.485810316,1.130811224,0.097829922,-0.476118958,3000,Free,"Correct, no change",2,4
2,4762,15457,48.68,47.22,2948,98,1,1,53,53,2,50,53,3,0,2,4,FALSE,,878,1626,FALSE,FALSE,1,,658,2746,5012,147,50,50,Left,0.196653137,0.0697787,-0.097301221,-0.010864567,0.097829922,1.388251107,7000,Free,"Correct, no change",4,11
2,3486,4223,46.9,47.12,1150,902,1,1,52,52,1,50,52,2,0,1,2,FALSE,,773,1256,FALSE,FALSE,1,,834,2644,5158,146,50,50,Right,0.024204883,-0.053869501,-0.105325101,-0.016651064,-0.641764291,0.440845212,5000,Free,"Correct, no change",4,12
2,5276,2141,41.92,43.97,1758,539,1,1,50,50,2,48,50,2,0,2,2,FALSE,,889,850,FALSE,FALSE,1,,726,1284,5299,141,48,48,Left,-0.458262706,-0.399806605,-0.358077323,-0.198925709,-0.641764291,1.769886398,3000,Free,"Correct, no change",4,6
2,1273,1673,46.85,48.47,647,2469,1,1,51,51,1,51,50,1,0,3,4,TRUE,,934,3178,TRUE,TRUE,1,,645,2699,5446,147,50,50,Right,0.01936083,-0.057342765,0.00299728,0.061466641,-1.381358503,-1.202265482,7000,Free,"Correct, no change",5,15
2,2774,3949,37.78,33.82,1246,4126,-1,-1,49,49,1,50,49,1,1,1,2,TRUE,,947,1056,FALSE,FALSE,1,,624,1591,5510,64,50,50,Right,-0.859350219,-0.687392872,-1.172501149,-0.78625512,-1.381358503,-0.087801338,3000,Free,"Incorrect, no change",5,9
2,1618,2240,50.15,64.42,328,1469,1,1,50,50,1,50,48,2,0,1,2,TRUE,,794,1386,TRUE,TRUE,1,,802,904,5667,157,48,48,Right,0.339068268,0.171892665,1.28280615,0.984412859,-0.641764291,-0.9461095,3000,Free,"Correct, no change",4,6
2,1546,9155,54.4,45.9,644,76,1,-1,50,48,2,50,48,2,0,1,2,TRUE,,646,2794,TRUE,FALSE,1,,788,1414,5771,104,48,50,Right,0.750812696,0.467120113,-0.203216438,-0.087246323,-0.641764291,-0.99956814,5000,Free,Correct to incorrect,4,14
2,1460,2314,53.38,55.2,1958,469,1,1,51,51,1,51,50,1,0,1,4,TRUE,,824,2884,TRUE,TRUE,1,,759,3018,5924,153,50,50,Left,0.651994033,0.396265525,0.543004408,0.450897866,-1.381358503,-1.063421515,7000,Free,"Correct, no change",4,16
2,1605,2317,58.93,54.87,781,601,1,1,50,50,2,50,49,1,0,1,4,TRUE,,882,2124,TRUE,TRUE,1,,727,1726,6080,156,49,49,Left,1.189683815,0.78179784,0.516525604,0.431802427,-1.381358503,-0.955761754,5000,Free,"Correct, no change",4,11
2,3991,2963,37.45,31.33,3116,979,-1,-1,50,50,0,50,50,0,1,1,2,FALSE,,794,1575,FALSE,TRUE,1,,866,1194,6145,65,50,50,Left,-0.891320962,-0.710316415,-1.372295763,-0.930338887,-2.120952716,0.815798172,3000,Free,"Incorrect, no change",5,5
2,4437,41699,35.82,48.75,2208,91,1,-1,51,50,1,51,50,1,0,1,4,TRUE,,985,2648,TRUE,FALSE,1,,730,3208,6237,92,50,51,Left,-1.04923706,-0.823544825,0.025464144,0.077668832,-1.381358503,1.146944747,7000,Free,Correct to incorrect,5,19
2,4096,3913,36.23,43.32,1235,1941,1,1,50,50,2,49,50,1,0,2,4,FALSE,,535,1966,FALSE,FALSE,1,,948,1875,6376,139,49,49,Left,-1.009515833,-0.795064059,-0.410232543,-0.236537937,-1.381358503,0.893758689,5000,Free,"Correct, no change",3,11
2,3946,2213,45.2,45.42,1541,1213,-1,-1,50,50,0,50,50,0,1,1,2,FALSE,,948,2568,TRUE,FALSE,1,,701,3112,6430,54,50,50,Left,-0.140492889,-0.171960481,-0.241731062,-0.115021507,-2.120952716,0.782386522,7000,Free,"Incorrect, no change",4,15
2,2498,3758,42.67,49.52,1709,2062,1,-1,51,50,1,51,50,1,0,1,6,TRUE,,870,3333,TRUE,FALSE,1,,598,2262,6526,96,50,51,Right,-0.385601924,-0.347707644,0.087248021,0.122224856,-1.381358503,-0.292726124,7000,Free,Correct to incorrect,5,15
2,3338,1594,42.18,46.38,444,1621,-1,-1,50,50,1,51,50,1,1,1,4,TRUE,,888,2238,FALSE,FALSE,1,,739,1680,6580,54,51,51,Left,-0.433073635,-0.381745632,-0.164701813,-0.059471139,-1.381358503,0.330958008,5000,Free,"Incorrect, no change",5,11
2,2617,1591,41.52,36.12,1129,6779,-1,-1,50,50,0,52,50,2,1,1,3,TRUE,,816,1490,FALSE,FALSE,1,,726,2472,6640,60,52,52,Right,-0.497015122,-0.427592718,-0.987951908,-0.653165697,-0.641764291,-0.204370872,5000,Free,"Incorrect, no change",5,11
2,2557,6301,35.27,39.67,402,910,1,1,53,53,1,50,53,3,0,1,2,FALSE,,664,1356,FALSE,FALSE,1,,748,1004,6776,136,50,50,Right,-1.102521633,-0.86175073,-0.703104166,-0.447745065,0.097829922,-0.248919738,3000,Free,"Correct, no change",4,7
2,1805,1696,61.58,47.13,2207,363,1,1,53,53,2,50,53,3,0,1,2,FALSE,,928,1282,FALSE,FALSE,1,,708,1078,6929,153,50,50,Left,1.446418576,0.965880837,-0.104522713,-0.016072414,0.097829922,-0.807265532,3000,Free,"Correct, no change",4,8
2,1673,2950,43.23,51.38,469,468,1,1,52,52,1,52,50,2,0,1,3,TRUE,,926,1550,TRUE,TRUE,1,,644,1758,7075,146,50,50,Right,-0.331348541,-0.308807086,0.23649219,0.229853694,-0.641764291,-0.905273039,5000,Free,"Correct, no change",3,7
3,2170,3257,44.85,50.9,378,1233,1,1,50,50,2,50,48,2,0,2,6,TRUE,,632,2067,TRUE,TRUE,1,,761,3592,7222,147,48,48,Right,-0.174401253,-0.196273329,0.197977566,0.20207851,-0.641764291,-0.536259927,7000,Free,"Correct, no change",2,16
3,1761,1929,53.75,69.72,333,1030,1,1,50,50,1,50,49,1,0,1,2,TRUE,,850,1704,TRUE,TRUE,1,,864,974,7382,160,49,49,Left,0.687840019,0.42196768,1.708071794,1.291097182,-1.381358503,-0.839934701,5000,Free,"Correct, no change",5,8
3,4984,4291,29.5,33.1,2416,255,1,1,50,50,2,49,50,1,0,2,3,FALSE,,866,1833,FALSE,FALSE,1,,698,2578,7512,130,49,49,Left,-1.661525244,-1.262565407,-1.230273086,-0.827917896,-1.381358503,1.553081914,5000,Free,"Correct, no change",3,14
3,1318,2474,55.42,66.12,1578,5414,-1,-1,50,50,0,50,50,0,1,2,4,FALSE,,1013,4111,TRUE,TRUE,1,,812,1766,7550,38,50,50,Right,0.849631358,0.537974701,1.419212112,1.082783302,-2.120952716,-1.168853832,7000,Free,"Incorrect, no change",6,12
