subject,trial,rt,choice,item_value_0,item_value_1,gaze_0,gaze_1,Session,gaze_L_bin3,gaze_R_bin3,trial_og
2,158,1247.0,1,5.3,5.0,0.5,0.5,Free,0.5,0.5,71
2,159,1885.0,1,5.0,5.4,0.25,0.75,Free,0.25,0.75,72
2,160,1360.0,1,4.6,5.0,0.5,0.5,Free,0.5,0.5,73
2,161,1531.0,1,5.0,5.3,0.25,0.75,Free,0.25,0.75,75
2,162,1335.9999999999998,1,4.8,5.0,0.75,0.25,Free,0.75,0.25,76
2,163,1578.0,1,5.2,5.0,0.25,0.75,Free,0.25,0.75,77
2,164,1683.0,0,5.4,5.0,0.75,0.25,Free,0.75,0.25,80
2,165,1396.9999999999998,0,5.0,4.7,0.75,0.25,Free,0.75,0.25,81
2,166,1754.0,0,5.0,4.7,0.25,0.75,Free,0.25,0.75,82
2,167,1829.0,0,5.0,4.7,0.75,0.25,Free,0.75,0.25,84
2,168,1242.0,0,5.0,4.7,0.75,0.25,Free,0.75,0.25,89
2,169,1440.0,1,5.0,4.8,0.5,0.5,Free,0.5,0.5,90
2,170,1650.0,1,5.0,5.3,0.25,0.75,Free,0.25,0.75,91
2,171,1686.0,1,4.7,5.0,0.5,0.5,Free,0.5,0.5,92
2,172,1426.9999999999998,1,5.0,5.2,0.75,0.25,Free,0.75,0.25,93
2,173,1319.0,0,5.0,5.2,0.75,0.25,Free,0.75,0.25,94
2,174,1364.0,1,4.9,5.0,0.25,0.75,Free,0.25,0.75,95
2,175,1056.0,0,5.0,5.1,0.75,0.25,Free,0.75,0.25,96
2,176,1630.0,1,5.2,5.0,0.25,0.75,Free,0.25,0.75,97
2,177,1394.0000000000002,1,5.3,5.0,0.5,0.5,Free,0.5,0.5,98
2,178,1433.0,1,5.0,4.8,0.75,0.25,Free,0.75,0.25,101
2,179,1771.9999999999998,1,5.0,5.3,0.5,0.5,Free,0.5,0.5,103
2,180,1739.0,1,5.0,5.2,0.25,0.75,Free,0.25,0.75,104
2,181,1463.0,1,5.0,4.8,0.5,0.5,Free,0.5,0.5,105
2,182,1517.0,0,5.0,4.7,0.5,0.5,Free,0.5,0.5,106
2,183,1475.0,0,5.0,5.4,0.75,0.25,Free,0.75,0.25,107
2,184,1524.0,1,4.6,5.0,0.25,0.75,Free,0.25,0.75,108
2,185,1660.0,1,4.7,5.0,0.25,0.75,Free,0.25,0.75,109
2,186,1521.0,0,5.3,5.0,0.5,0.5,Free,0.5,0.5,110
